;Recettes;;;Dépenses;;;;;;Cadeau;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G45)),ISBLANK(G46)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G45)),ISBLANK($G46)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G45)),ISBLANK($G46)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G45)),ISBLANK($G46)),$C$42-$H$40-$F$42,"""")";;;FoireFouille;12.98;x;"=IF(I46=""x"",H46,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G46)),ISBLANK(G47)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G46)),ISBLANK($G47)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G46)),ISBLANK($G47)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G46)),ISBLANK($G47)),$C$42-$H$40-$F$42,"""")";;;Leclerc;66.4;x;"=IF(I47=""x"",H47,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G47)),ISBLANK(G48)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G47)),ISBLANK($G48)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G47)),ISBLANK($G48)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G47)),ISBLANK($G48)),$C$42-$H$40-$F$42,"""")";;;Leclerc;84.83;x;"=IF(I48=""x"",H48,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G48)),ISBLANK(G49)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G48)),ISBLANK($G49)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G48)),ISBLANK($G49)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G48)),ISBLANK($G49)),$C$42-$H$40-$F$42,"""")";;;Decathlon;21.98;x;"=IF(I49=""x"",H49,0)";Vêtements;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G49)),ISBLANK(G50)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G49)),ISBLANK($G50)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G49)),ISBLANK($G50)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G49)),ISBLANK($G50)),$C$42-$H$40-$F$42,"""")";;;Decathlon Colle Hand;49.98;x;"=IF(I50=""x"",H50,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G50)),ISBLANK(G51)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G50)),ISBLANK($G51)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G50)),ISBLANK($G51)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G50)),ISBLANK($G51)),$C$42-$H$40-$F$42,"""")";;;Café Station;1.9;x;"=IF(I51=""x"",H51,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G51)),ISBLANK(G52)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G51)),ISBLANK($G52)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G51)),ISBLANK($G52)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G51)),ISBLANK($G52)),$C$42-$H$40-$F$42,"""")";;;Café Station;2.7;x;"=IF(I52=""x"",H52,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G52)),ISBLANK(G53)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G52)),ISBLANK($G53)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G52)),ISBLANK($G53)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G52)),ISBLANK($G53)),$C$42-$H$40-$F$42,"""")";;;Café Station;3.5;x;"=IF(I53=""x"",H53,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G53)),ISBLANK(G54)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G53)),ISBLANK($G54)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G53)),ISBLANK($G54)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G53)),ISBLANK($G54)),$C$42-$H$40-$F$42,"""")";;;Traversée Bac;11;x;"=IF(I54=""x"",H54,0)";Voiture/Déplacement;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G54)),ISBLANK(G55)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G54)),ISBLANK($G55)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G54)),ISBLANK($G55)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G54)),ISBLANK($G55)),$C$42-$H$40-$F$42,"""")";;;Station;22.4;x;"=IF(I55=""x"",H55,0)";Courses;;;;;;;;;;;;;;;;;;
