;Recettes;;;Dépenses;;;;;;Cadeau;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G54)),ISBLANK(G55)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G54)),ISBLANK($G55)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G54)),ISBLANK($G55)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G54)),ISBLANK($G55)),$C$42-$H$40-$F$42,"""")";;;Mr Bricolage;11.9;x;"=IF(I55=""x"",H55,0)";Bricolage/Travaux;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G55)),ISBLANK(G56)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G55)),ISBLANK($G56)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G55)),ISBLANK($G56)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G55)),ISBLANK($G56)),$C$42-$H$40-$F$42,"""")";;;Cigarettes;13;x;"=IF(I56=""x"",H56,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G56)),ISBLANK(G57)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G56)),ISBLANK($G57)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G56)),ISBLANK($G57)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G56)),ISBLANK($G57)),$C$42-$H$40-$F$42,"""")";;;Rory Langueux;23.1;x;"=IF(I57=""x"",H57,0)";Vêtements;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G57)),ISBLANK(G58)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G57)),ISBLANK($G58)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G57)),ISBLANK($G58)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G57)),ISBLANK($G58)),$C$42-$H$40-$F$42,"""")";;;Leroy Merlin;185.35;x;"=IF(I58=""x"",H58,0)";Bricolage/Travaux;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G58)),ISBLANK(G59)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G58)),ISBLANK($G59)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G58)),ISBLANK($G59)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G58)),ISBLANK($G59)),$C$42-$H$40-$F$42,"""")";;;Ikea;335.93;x;"=IF(I59=""x"",H59,0)";Bricolage/Travaux;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G59)),ISBLANK(G60)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G59)),ISBLANK($G60)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G59)),ISBLANK($G60)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G59)),ISBLANK($G60)),$C$42-$H$40-$F$42,"""")";;;Amazon;36.29;x;"=IF(I60=""x"",H60,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G60)),ISBLANK(G61)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G60)),ISBLANK($G61)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G60)),ISBLANK($G61)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G60)),ISBLANK($G61)),$C$42-$H$40-$F$42,"""")";;;Amazon;279;x;"=IF(I61=""x"",H61,0)";Bricolage/Travaux;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G61)),ISBLANK(G62)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G61)),ISBLANK($G62)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G61)),ISBLANK($G62)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G61)),ISBLANK($G62)),$C$42-$H$40-$F$42,"""")";;;Leclerc;182.67;x;"=IF(I62=""x"",H62,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G62)),ISBLANK(G63)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G62)),ISBLANK($G63)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G62)),ISBLANK($G63)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G62)),ISBLANK($G63)),$C$42-$H$40-$F$42,"""")";;;Marché;35;x;"=IF(I63=""x"",H63,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G63)),ISBLANK(G64)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G63)),ISBLANK($G64)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G63)),ISBLANK($G64)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G63)),ISBLANK($G64)),$C$42-$H$40-$F$42,"""")";;;Marché;40;x;"=IF(I64=""x"",H64,0)";Courses;;;;;;;;;;;;;;;;;;
